from	18828	0.0
mathew	97	5.258186034825856
mantis.co.uk	78	5.473705661029407
subject	18828	0.0
alt.ath	66	5.638460894105463
faq	414	3.81487499326573
atheist	397	3.856701508211991
resourc	341	4.008342776433824
archiv	265	4.259657204714729
name	1640	2.4400924224063374
atheism	156	4.78690770814812
alt	73	5.539088420292258
last	2227	2.134293912449254
modifi	280	4.204798844162682
decemb	126	4.998966427037837
version	958	2.97726243861299
address	1009	2.9254479036611234
organ	769	3.196762998648699
usa	561	3.5116516636027373
freedom	380	3.9003541383697273
religion	616	3.4182844895910405
foundat	145	4.859546891788092
darwin	22	6.707659297567279
fish	108	5.151805631267285
bumper	50	5.911327880772102
sticker	72	5.552694072348038
assort	28	6.475857683509954
other	5360	1.2562477096688907
paraphernalia	5	8.051394044268374
avail	1399	2.5989259978930783
us	7870	0.8722131153539783
write	10229	0.6100736545507562
ffrf	2	8.74454122482832
p.o	192	4.580463324591543
box	914	3.024229448220907
madison	42	6.081953397802866
wi	79	5.461126878822547
telephon	230	4.400735802974635
evolut	93	5.299858731226425
design	928	3.00904477468259
sell	895	3.0452131005214977
it	5459	1.2379494447574777
'	9579	0.6757206425315222
symbol	124	5.014839776194127
like	6347	1.0872584318501288
on	7332	0.943013525402629
christian	1153	2.7921640664283833
stick	358	3.9598311250081495
car	1118	2.8229628051845035
feet	233	4.387832398138727
word	1453	2.561079855402964
written	534	3.560886766600422
insid	448	3.736130625754174
delux	37	6.205567353770043
mould	7	7.763711971816592
d	1858	2.3153595257749844
plastic	124	5.014839776194127
postpaid	3	8.456859152376538
laurel	12	7.278204156034891
canyon	24	6.6242776886282275
north	351	3.9795223378983313
hollywood	21	6.7521110601381125
ca	2621	1.9714608491727834
peopl	4167	1.5079619300632254
san	375	3.913564370106534
francisco	132	4.952804385274675
bai	170	4.701489956993768
area	1019	2.915595607218112
can	7978	0.8585851441881476
get	5965	1.1493215484217347
lynn	49	5.931130508068282
gold	134	4.937878735057999
try	2655	1.958577002900104
mail	2251	2.1235795242368476
figmo	2	8.74454122482832
netcom.com	756	3.2137902600589796
net	843	3.1050010189004715
who	5179	1.2905931782428997
go	4255	1.4870684824749483
directli	500	3.6265474124115635
price	1048	2.8875609051001314
per	582	3.4749663271459363
american	954	2.981442173015698
press	624	3.405401863760027
aap	20	6.798631075773005
publish	465	3.6989678793707825
variou	534	3.560886766600422
book	1168	2.77924955202436
critiqu	26	6.547316647492099
bibl	522	3.5835720494315053
list	1272	2.694021914939022
biblic	201	4.5348858160952235
contradict	208	4.500819261531618
so	6885	1.0059078695979595
handbook	55	5.817801822761279
w.p	2	8.74454122482832
ball	322	4.065501190273772
g.w	3	8.456859152376538
foot	181	4.639146826419633
pp	182	4.633667360655007
isbn	50	5.911327880772102
nd	288	4.176726825383996
edit	337	4.02010761801341
absurd	129	4.975619063040846
atroc	72	5.552694072348038
immor	97	5.258186034825856
contain	637	3.3848152301516388
itself	651	3.3631089515697754
base	1473	2.5474184407471467
king	399	3.8516889663884464
jame	596	3.4512364001038263
austin	128	4.983341109134757
tx	182	4.633667360655007
cameron	17	6.952781755600264
road	651	3.3631089515697754
fax	1022	2.912658747544802
prometheu	3	8.456859152376538
includ	1868	2.309994706040866
haught	2	8.74454122482832
holi	213	4.477177498474577
horror	82	5.42431290569983
see	3427	1.703421233778758
below	461	3.7075886224146894
east	355	3.968222782644398
amherst	16	7.009940169440212
street	423	3.793420058264471
buffalo	123	5.0228719478913915
new	4058	1.5344615966575308
york	445	3.7428345614763643
altern	422	3.7957813344501505
which	5187	1.289049968060094
mai	3211	1.7685044384297761
newer	139	4.901511090887124
older	232	4.3921150599307275
glenn	73	5.539088420292258
drive	1504	2.526605336313452
ny	306	4.116305765909232
african	48	5.951333215385802
human	998	2.936398734847875
promot	184	4.622797688418103
black	606	3.43462472243693
secular	65	5.653498771470003
uncov	33	6.316792988880267
histori	699	3.2920731784530237
freethought	3	8.456859152376538
quarterli	35	6.259634575040319
newslett	62	5.700018787104896
aah	2	8.74454122482832
examin	244	4.341895302951701
norm	59	5.748808951274328
r	1939	2.272710261439055
allen	221	4.440476131624149
jr	215	4.467875105812263
unit	750	3.2217478617322937
kingdom	143	4.873340213920428
rationalist	3	8.456859152376538
associ	526	3.575952964955066
nation	1054	2.8818574675862614
societi	485	3.6569448895959344
islington	2	8.74454122482832
high	1392	2.603938539716623
hollowai	13	7.20409618388117
london	121	5.039132468763172
n	1216	2.7390094205089013
ew	28	6.475857683509954
nl	115	5.089563322390064
british	223	4.431507461641388
humanist	22	6.707659297567279
south	257	4.290193928574811
place	1718	2.393655508113579
ethic	139	4.901511090887124
lamb	38	6.179591867366782
conduit	13	7.20409618388117
passag	186	4.612044896641842
conwai	11	7.358246863708428
hall	212	4.481861347787003
wc	110	5.133623312184095
rh	45	6.0145121170073335
red	582	3.4749663271459363
lion	41	6.10548389521306
squar	139	4.901511090887124
rl	58	5.765616069590709
freethink	3	8.456859152376538
monthli	78	5.473705661029407
magazin	358	3.9598311250081495
found	1397	2.600355590702673
germani	319	4.0748325177026565
ibka	2	8.74454122482832
e.v	4	8.233715601062329
international	2	8.74454122482832
bund	5	8.051394044268374
der	60	5.732279649323117
konfessionslosen	2	8.74454122482832
und	28	6.475857683509954
atheisten	2	8.74454122482832
postfach	10	7.445258240698058
berlin	39	6.154274059382492
journal	165	4.731165725139885
miz	3	8.456859152376538
materialien	2	8.74454122482832
informationen	2	8.74454122482832
zur	8	7.645928936160209
zeit	6	7.897243364441115
politisch	2	8.74454122482832
konfessionslosesn	2	8.74454122482832
hrsg	2	8.74454122482832
vertrieb	2	8.74454122482832
ibdk	2	8.74454122482832
b	1746	2.377498203362372
ucherdienst	2	8.74454122482832
hannov	6	7.897243364441115
fiction	102	5.208424525266793
thoma	484	3.659004622558945
m	1485	2.539310288218724
disch	2	8.74454122482832
santa	99	5.237983327508337
clau	12	7.278204156034891
compromis	136	4.9231725876683035
short	689	3.3064619159051234
stori	665	3.341863842956039
ultim	169	4.7073550764461665
proof	334	4.029022981671362
exist	1368	2.6213176882079794
all	7358	0.9394741805698293
charact	287	4.180193033360482
event	565	3.5045594352932454
fictiti	7	7.763711971816592
ani	6786	1.02038921679267
similar	826	3.125348818472737
live	1610	2.458543130319454
dead	623	3.4070031451270006
god	1410	2.5910995616436145
uh	126	4.998966427037837
well	3663	1.6368427877024077
walter	78	5.473705661029407
miller	164	4.737208039595847
canticl	2	8.74454122482832
leibowitz	2	8.74454122482832
gem	41	6.10548389521306
post	2779	1.9129473068117457
atom	97	5.258186034825856
doomsdai	3	8.456859152376538
novel	109	5.142673147704012
monk	13	7.20409618388117
spent	244	4.341895302951701
